slug,path,git_status,has_readme,has_agents,has_code_workspace,has_project_forge_marker,remote_count,category
mavrakis,/run/media/cash/WD_BLACK_4TB/Cole/Projects/mavrakis,clean,true,false,false,false,2,clean_candidate
media-dedupe,/run/media/cash/WD_BLACK_4TB/Cole/Projects/media-dedupe,clean,true,false,false,false,2,clean_candidate
my-tools,/run/media/cash/WD_BLACK_4TB/Cole/Projects/my-tools,clean,true,false,false,false,2,clean_candidate
neon-district,/run/media/cash/WD_BLACK_4TB/Cole/Projects/neon-district,clean,true,true,false,true,2,known_embedded
nothing-phone-3-nethunter,/run/media/cash/WD_BLACK_4TB/Cole/Projects/nothing-phone-3-nethunter,dirty,true,false,false,false,0,dirty_candidate_review_first
nothing-sm8735-6.6,/run/media/cash/WD_BLACK_4TB/Cole/Projects/nothing-phone-3-nethunter/vendor/kernel-source/nothing-sm8735-6.6,clean,true,false,false,false,1,clean_candidate
openclaw-workspace,/run/media/cash/WD_BLACK_4TB/Cole/Projects/openclaw-workspace,clean,false,true,false,false,2,clean_candidate
oren,/run/media/cash/WD_BLACK_4TB/Cole/Projects/oren,clean,true,false,false,false,2,clean_candidate
pixel-9-pro-xl-twrp-experiment,/run/media/cash/WD_BLACK_4TB/Cole/Projects/pixel-9-pro-xl-TWRP-experiment,clean,true,false,false,false,2,clean_candidate
project-forge-registry,/run/media/cash/WD_BLACK_4TB/Cole/Projects/project-forge-registry,clean,true,true,false,false,2,control_repo
project_katrina,/run/media/cash/WD_BLACK_4TB/Cole/Projects/project_katrina,dirty,false,false,true,false,2,dirty_candidate_review_first
recon,/run/media/cash/WD_BLACK_4TB/Cole/Projects/recon,unknown,false,false,false,false,0,unknown_structure
recon-nixos-config,/run/media/cash/WD_BLACK_4TB/Cole/Projects/recon-nixos-config,clean,false,false,false,false,2,clean_candidate
secure-edit-flow,/run/media/cash/WD_BLACK_4TB/Cole/Projects/secure-edit-flow,clean,true,false,false,false,2,clean_candidate
test-repo-from-agent,/run/media/cash/WD_BLACK_4TB/Cole/Projects/test-repo-from-agent,clean,true,false,false,false,2,clean_candidate
this-was-avoidable,/run/media/cash/WD_BLACK_4TB/Cole/Projects/this-was-avoidable,clean,true,false,false,false,2,clean_candidate
tidal-hifi,/run/media/cash/WD_BLACK_4TB/Cole/Projects/tidal-hifi,clean,true,false,false,false,2,clean_candidate
wraith,/run/media/cash/WD_BLACK_4TB/Cole/Projects/wraith,clean,true,false,false,false,2,clean_candidate
your-video-guru,/run/media/cash/WD_BLACK_4TB/Cole/Projects/your-video-guru,clean,true,false,false,false,1,clean_candidate
