slug,path,selected,eligible,decision,reason,marker_yaml,marker_doc,category,git_status
cerberus-aegis,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-aegis,false,false,blocked_protected,Protected/Cerberus-related repo requires manual review.,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-aegis/.project-forge.yml,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-aegis/docs/PROJECT_FORGE.md,protected_manual_review,clean
cerberus-agents,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-agents,false,false,blocked_protected,Protected/Cerberus-related repo requires manual review.,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-agents/.project-forge.yml,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-agents/docs/PROJECT_FORGE.md,protected_manual_review,clean
cerberus-insights,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-insights,false,false,blocked_protected,Protected/Cerberus-related repo requires manual review.,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-insights/.project-forge.yml,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-insights/docs/PROJECT_FORGE.md,protected_manual_review,clean
cerberus-project,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-project,false,false,blocked_protected,Protected/Cerberus-related repo requires manual review.,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-project/.project-forge.yml,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-project/docs/PROJECT_FORGE.md,protected_manual_review,clean
cerberus-recon,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-recon,false,false,blocked_protected,Protected/Cerberus-related repo requires manual review.,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-recon/.project-forge.yml,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-recon/docs/PROJECT_FORGE.md,protected_manual_review,clean
cerberus-watch,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-watch,false,false,blocked_protected,Protected/Cerberus-related repo requires manual review.,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-watch/.project-forge.yml,/mnt/storage/Cole/Projects/endgame-solutions/cerberus-watch/docs/PROJECT_FORGE.md,protected_manual_review,clean
marion-county-weather-hub,/mnt/storage/Cole/Projects/endgame-solutions/marion-county-weather-hub,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/endgame-solutions/marion-county-weather-hub/.project-forge.yml,/mnt/storage/Cole/Projects/endgame-solutions/marion-county-weather-hub/docs/PROJECT_FORGE.md,clean_candidate,clean
obsidian-council,/mnt/storage/Cole/Projects/endgame-solutions/obsidian-council,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/endgame-solutions/obsidian-council/.project-forge.yml,/mnt/storage/Cole/Projects/endgame-solutions/obsidian-council/docs/PROJECT_FORGE.md,clean_candidate,clean
foundations-of-git-exercise-repo,/mnt/storage/Cole/Projects/foundations-of-git-exercise-repo,false,false,blocked_dirty,Repo is dirty; clean or review before embedding.,/mnt/storage/Cole/Projects/foundations-of-git-exercise-repo/.project-forge.yml,/mnt/storage/Cole/Projects/foundations-of-git-exercise-repo/docs/PROJECT_FORGE.md,dirty_candidate_review_first,dirty
foundations-of-git-exercise-repo,/mnt/storage/Cole/Projects/foundations-of-git-exercise-repo/foundations-of-git-exercise-repo,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/foundations-of-git-exercise-repo/foundations-of-git-exercise-repo/.project-forge.yml,/mnt/storage/Cole/Projects/foundations-of-git-exercise-repo/foundations-of-git-exercise-repo/docs/PROJECT_FORGE.md,clean_candidate,clean
gremlin,/mnt/storage/Cole/Projects/gremlin,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/gremlin/.project-forge.yml,/mnt/storage/Cole/Projects/gremlin/docs/PROJECT_FORGE.md,clean_candidate,clean
hermes-agent,/mnt/storage/Cole/Projects/hermes-agent,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/hermes-agent/.project-forge.yml,/mnt/storage/Cole/Projects/hermes-agent/docs/PROJECT_FORGE.md,clean_candidate,clean
lifesaver-ledger,/mnt/storage/Cole/Projects/lifesaver-ledger,true,true,plan_marker_write,Selected clean candidate; marker write may be approved in later apply phase.,/mnt/storage/Cole/Projects/lifesaver-ledger/.project-forge.yml,/mnt/storage/Cole/Projects/lifesaver-ledger/docs/PROJECT_FORGE.md,clean_candidate,clean
media-dedupe,/mnt/storage/Cole/Projects/media-dedupe,true,true,plan_marker_write,Selected clean candidate; marker write may be approved in later apply phase.,/mnt/storage/Cole/Projects/media-dedupe/.project-forge.yml,/mnt/storage/Cole/Projects/media-dedupe/docs/PROJECT_FORGE.md,clean_candidate,clean
neon-district,/mnt/storage/Cole/Projects/neon-district,true,true,plan_marker_write,Selected clean candidate; marker write may be approved in later apply phase.,/mnt/storage/Cole/Projects/neon-district/.project-forge.yml,/mnt/storage/Cole/Projects/neon-district/docs/PROJECT_FORGE.md,clean_candidate,clean
openclaw-workspace,/mnt/storage/Cole/Projects/openclaw-workspace,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/openclaw-workspace/.project-forge.yml,/mnt/storage/Cole/Projects/openclaw-workspace/docs/PROJECT_FORGE.md,clean_candidate,clean
primal-web-app,/mnt/storage/Cole/Projects/primal-web-app,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/primal-web-app/.project-forge.yml,/mnt/storage/Cole/Projects/primal-web-app/docs/PROJECT_FORGE.md,clean_candidate,clean
project-forge-registry,/mnt/storage/Cole/Projects/project-forge-registry,false,false,skip_control_repo,Project Forge control repo should not embed into itself automatically.,/mnt/storage/Cole/Projects/project-forge-registry/.project-forge.yml,/mnt/storage/Cole/Projects/project-forge-registry/docs/PROJECT_FORGE.md,control_repo,clean
project_katrina,/mnt/storage/Cole/Projects/project_katrina,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/project_katrina/.project-forge.yml,/mnt/storage/Cole/Projects/project_katrina/docs/PROJECT_FORGE.md,clean_candidate,clean
recon_housekeeping,/mnt/storage/Cole/Projects/recon_housekeeping,true,true,plan_marker_write,Selected clean candidate; marker write may be approved in later apply phase.,/mnt/storage/Cole/Projects/recon_housekeeping/.project-forge.yml,/mnt/storage/Cole/Projects/recon_housekeeping/docs/PROJECT_FORGE.md,clean_candidate,clean
this-was-avoidable,/mnt/storage/Cole/Projects/this-was-avoidable,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/this-was-avoidable/.project-forge.yml,/mnt/storage/Cole/Projects/this-was-avoidable/docs/PROJECT_FORGE.md,clean_candidate,clean
tidal-hifi,/mnt/storage/Cole/Projects/tidal-hifi,false,false,blocked_dirty,Repo is dirty; clean or review before embedding.,/mnt/storage/Cole/Projects/tidal-hifi/.project-forge.yml,/mnt/storage/Cole/Projects/tidal-hifi/docs/PROJECT_FORGE.md,dirty_candidate_review_first,dirty
tidal-hifi,/mnt/storage/Cole/Projects/tidal-hifi/tidal-hifi,false,true,candidate_not_selected,"Clean candidate, but not selected for this embed plan.",/mnt/storage/Cole/Projects/tidal-hifi/tidal-hifi/.project-forge.yml,/mnt/storage/Cole/Projects/tidal-hifi/tidal-hifi/docs/PROJECT_FORGE.md,clean_candidate,clean
